Title,Year_Released,Studio,Genre,Month,Overal_Rev,Global_Rev,JP_Rev,CN_Rev,Review,Downloads,Drop_Rates,Rarity_Count
Love and Deepspace,2024,Infold Games,Romance,October,42.1,5,1.3,35.8,4.3,1.24,1,3
Love and Deepspace,2024,Infold Games,Romance,September,62.5,6,1.5,55,4.3,2.125,1,3
Love and Deepspace,2024,Infold Games,Romance,August,51,7,2.7,41.3,4.3,3.14,1,3
Love and Deepspace,2024,Infold Games,Romance,July,42.2,5,1.4,35.8,4.3,3.65,1,3
Love and Deepspace,2024,Infold Games,Romance,June,30.8,1.9,1.4,27.5,4.3,0.655,1,3
Love and Deepspace,2024,Infold Games,Romance,May,33.6,1.9,1.4,30.3,4.3,0.685,1,3
Love and Deepspace,2024,Infold Games,Romance,April,37.3,3,1.3,33,4.3,0.745,1,3
Love and Deepspace,2024,Infold Games,Romance,March,35.8,3,2.5,30.3,4.3,1.446,1,3
Love and Deepspace,2024,Infold Games,Romance,February,52.8,5,3.8,44,4.3,3.32,1,3
Love and Deepspace,2024,Infold Games,Romance,January,30.4,1.6,1.3,27.5,4.3,10.24,1,3
Monster Strike,2013,XFLAG,Action,October,34,0,34,0,4.3,0.18,8.8,5
Monster Strike,2013,XFLAG,Action,September,26,0,26,0,4.3,0.05,8.8,5
Monster Strike,2013,XFLAG,Action,August,31,0,31,0,4.3,0.07,8.8,5
Monster Strike,2013,XFLAG,Action,July,23,0,23,0,4.3,0.12,8.8,5
Monster Strike,2013,XFLAG,Action,June,17,0,17,0,4.3,0.08,8.8,5
Monster Strike,2013,XFLAG,Action,May,20,0,20,0,4.3,0.06,8.8,5
Monster Strike,2013,XFLAG,Action,April,20,0,20,0,4.3,0.1,8.8,5
Monster Strike,2013,XFLAG,Action,March,23,0,23,0,4.3,0.09,8.8,5
Monster Strike,2013,XFLAG,Action,February,27,0,27,0,4.3,0.1,8.8,5
Monster Strike,2013,XFLAG,Action,January,37,0,37,0,4.3,0.14,8.8,5
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,October,30,0,0,30,4.7,0.825,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,September,28,0,0,28,4.7,0.825,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,August,25,0,0,25,4.7,0.825,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,July,25,0,0,25,4.7,1.4,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,June,28,0,0,28,4.7,1.7,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,May,50,0,0,50,4.7,1.7,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,April,30,0,0,30,4.7,0.825,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,March,25,0,0,25,4.7,1.1,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,February,33,0,0,33,4.7,1.1,1,4
Naruto Mobile,2016,Shenzhen Tencent Tianyou Technology,Action,January,43,0,0,43,4.7,1.4,1,4
Genshin Impact,2020,HOYOVERSE,Adventure,October,53,28,0,25,4.3,2.05,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,September,46,27,0,19,4.3,2.05,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,August,42,23,0,19,4.3,2.325,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,July,37,18,0,19,4.3,2.7,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,June,68,29,0,39,4.3,1.1,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,May,53,23,0,30,4.3,2.325,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,April,120,37,0,83,4.3,2.7,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,March,68,24,0,44,4.3,1.1,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,February,93,35,0,58,4.3,4.3,0.6,3
Genshin Impact,2020,HOYOVERSE,Adventure,January,89,26,0,63,4.3,4.4,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,October,43,24,0,19,4.5,1.048,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,September,69,36,0,33,4.5,1.075,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,August,40,21,0,19,4.5,1.275,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,July,41,22,0,19,4.5,1.75,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,June,96,35,0,61,4.5,1.75,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,May,91,36,0,55,4.5,1.7,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,April,109,43,0,66,4.5,1.95,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,March,144,48,0,96,4.5,2.225,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,February,93,32,0,61,4.5,2.225,0.6,3
Honkai: Star Rail,2023,HOYOVERSE,Adventure,January,48,20,0,28,4.5,2.125,0.6,3
Puzzle & Dragon,2012,Gungho Online,Puzzle,October,22.4,0.4,22,0,4.3,0.095,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,September,12.2,0.2,12,0,4.3,0.075,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,August,14.3,0.3,14,0,4.3,0.075,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,July,9.4,0.4,9,0,4.3,0.055,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,June,17.5,0.5,17,0,4.3,0.075,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,May,13.6,0.6,13,0,4.3,0.075,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,April,17.6,0.6,17,0,4.3,0.075,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,March,16.5,0.5,16,0,4.3,0.095,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,February,13.4,0.4,13,0,4.3,0.075,2,4
Puzzle & Dragon,2012,Gungho Online,Puzzle,January,17.5,0.5,17,0,4.3,0.105,2,4
Fate/Grand Order,2015,Aniplex,Role Playing,October,21.2,1.7,17,2.5,4.5,0.125,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,September,20.5,1.6,17,1.9,4.5,0.155,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,August,50,3,36,11,4.5,0.235,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,July,27.3,10,9,8.3,4.5,0.234,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,June,16,2.8,11,2.2,4.5,0.17,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,May,19.8,3,14,2.8,4.5,0.162,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,April,25.3,3,14,8.3,4.5,0.193,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,March,24.7,1.9,20,2.8,4.5,0.498,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,February,20.8,3,15,2.8,4.5,0.635,1,3
Fate/Grand Order,2015,Aniplex,Role Playing,January,32.5,6,21,5.5,4.5,0.255,1,3
Gakuen iDOLM@STER,2024,Bandai Namco,Simulation,October,11,0,11,0,4.7,0.08,5,3
